"","Words","Emotion","Category"
"1","Annoyed ","Apathy","Anger"
"2"," Apathetic ","Apathy","Anger"
"3"," Bored ","Apathy","Anger"
"4"," Certain ","Apathy","Anger"
"5"," Cold ","Apathy","Anger"
"6"," Crabby ","Apathy","Anger"
"7"," Cranky ","Apathy","Anger"
"8"," Critical ","Apathy","Anger"
"9"," Cross ","Apathy","Anger"
"10"," Detached ","Apathy","Anger"
"11"," Displeased ","Apathy","Anger"
"12"," Frustrated ","Apathy","Anger"
"13"," Impatient ","Apathy","Anger"
"14"," Indifferent ","Apathy","Anger"
"15"," Irritated ","Apathy","Anger"
"16"," Peeved ","Apathy","Anger"
"17"," Rankled","Apathy","Anger"
"18","Affronted ","Anger","Anger"
"19"," Aggravated ","Anger","Anger"
"20"," Angry ","Anger","Anger"
"21"," Antagonized ","Anger","Anger"
"22"," Arrogant ","Anger","Anger"
"23"," Bristling ","Anger","Anger"
"24"," Exasperated ","Anger","Anger"
"25"," Incensed ","Anger","Anger"
"26"," Indignant ","Anger","Anger"
"27"," Inflamed ","Anger","Anger"
"28"," Mad ","Anger","Anger"
"29"," Offended ","Anger","Anger"
"30"," Resentful ","Anger","Anger"
"31"," Riled up ","Anger","Anger"
"32"," Sarcastic","Anger","Anger"
"33","Aggressive ","Hatred","Anger"
"34"," Appalled ","Hatred","Anger"
"35"," Belligerent ","Hatred","Anger"
"36"," Bitter ","Hatred","Anger"
"37"," Contemptuous ","Hatred","Anger"
"38"," Disgusted ","Hatred","Anger"
"39"," Furious ","Hatred","Anger"
"40"," Hateful ","Hatred","Anger"
"41"," Hostile ","Hatred","Anger"
"42"," Irate ","Hatred","Anger"
"43"," Livid ","Hatred","Anger"
"44"," Menacing ","Hatred","Anger"
"45"," Outraged ","Hatred","Anger"
"46"," Ranting ","Hatred","Anger"
"47"," Raving ","Hatred","Anger"
"48"," Seething ","Hatred","Anger"
"49"," Spiteful ","Hatred","Anger"
"50"," Vengeful ","Hatred","Anger"
"51"," Vicious ","Hatred","Anger"
"52"," Vindictive ","Hatred","Anger"
"53"," Violent","Hatred","Anger"
"54","Alert ","Anxiety","Fear"
"55"," Apprehensive ","Anxiety","Fear"
"56"," Cautious ","Anxiety","Fear"
"57"," Concerned ","Anxiety","Fear"
"58"," Confused ","Anxiety","Fear"
"59"," Curious ","Anxiety","Fear"
"60"," Disconcerted ","Anxiety","Fear"
"61"," Disoriented ","Anxiety","Fear"
"62"," Disquieted ","Anxiety","Fear"
"63"," Doubtful ","Anxiety","Fear"
"64"," Edgy ","Anxiety","Fear"
"65"," Fidgety ","Anxiety","Fear"
"66"," Hesitant ","Anxiety","Fear"
"67"," Indecisive ","Anxiety","Fear"
"68"," Insecure ","Anxiety","Fear"
"69"," Instinctive ","Anxiety","Fear"
"70"," Intuitive ","Anxiety","Fear"
"71"," Leery ","Anxiety","Fear"
"72"," Pensive ","Anxiety","Fear"
"73"," Shy ","Anxiety","Fear"
"74"," Timid ","Anxiety","Fear"
"75"," Uneasy ","Anxiety","Fear"
"76"," Watchful","Anxiety","Fear"
"77","Afraid ","Fear","Fear"
"78"," Alarmed ","Fear","Fear"
"79"," Anxious ","Fear","Fear"
"80"," Aversive ","Fear","Fear"
"81"," Distrustful ","Fear","Fear"
"82"," Fearful ","Fear","Fear"
"83"," Jumpy ","Fear","Fear"
"84"," Nervous ","Fear","Fear"
"85"," Perturbed ","Fear","Fear"
"86"," Rattled ","Fear","Fear"
"87"," Shaky ","Fear","Fear"
"88"," Startled ","Fear","Fear"
"89"," Suspicious ","Fear","Fear"
"90"," Unnerved ","Fear","Fear"
"91"," Unsettled ","Fear","Fear"
"92"," Wary ","Fear","Fear"
"93"," Worried","Fear","Fear"
"94","Filled with Dread ","Panic","Fear"
"95"," Horrified ","Panic","Fear"
"96"," Panicked ","Panic","Fear"
"97"," Paralyzed ","Panic","Fear"
"98"," Petrified ","Panic","Fear"
"99"," Phobic ","Panic","Fear"
"100"," Shocked ","Panic","Fear"
"101"," Terrorized","Panic","Fear"
"102","Amused ","Happiness","Happiness"
"103"," Calm ","Happiness","Happiness"
"104"," Encouraged ","Happiness","Happiness"
"105"," Friendly ","Happiness","Happiness"
"106"," Hopeful ","Happiness","Happiness"
"107"," Inspired ","Happiness","Happiness"
"108"," Jovial ","Happiness","Happiness"
"109"," Open ","Happiness","Happiness"
"110"," Peaceful ","Happiness","Happiness"
"111"," Smiling Upbeat","Happiness","Happiness"
"112","Cheerful ","Contentment","Happiness"
"113"," Contented ","Contentment","Happiness"
"114"," Delighted ","Contentment","Happiness"
"115"," Excited ","Contentment","Happiness"
"116"," Fulfilled ","Contentment","Happiness"
"117"," Glad ","Contentment","Happiness"
"118"," Gleeful ","Contentment","Happiness"
"119"," Gratified ","Contentment","Happiness"
"120"," Happy ","Contentment","Happiness"
"121"," Healthy Self-esteem ","Contentment","Happiness"
"122"," Joyful ","Contentment","Happiness"
"123"," Lively ","Contentment","Happiness"
"124"," Merry ","Contentment","Happiness"
"125"," Optimistic ","Contentment","Happiness"
"126"," Playful ","Contentment","Happiness"
"127"," Pleased ","Contentment","Happiness"
